date,fit
2020-01-13,5.201322629807602e-33
2020-01-14,5.960732278240536e-33
2020-01-29,6.83101815089163e-33
2020-01-30,7.828368529174066e-33
2020-01-31,8.971335235079679e-33
2020-02-02,1.0281178715621065e-32
2020-02-23,1.1782263510700343e-32
2020-02-27,1.3502511460544612e-32
2020-02-28,1.547392108286853e-32
2020-03-01,1.7733162780754674e-32
2020-03-02,2.0322260952777708e-32
2020-03-03,2.3289375693376323e-32
2020-03-04,2.668969862396593e-32
2020-03-05,3.058647951824333e-32
2020-03-06,3.50522028180518e-32
2020-03-07,4.016993592430237e-32
2020-03-08,4.6034874342663156e-32
2020-03-09,5.275611242542928e-32
2020-03-10,6.045867264734066e-32
2020-03-11,6.928583116212351e-32
2020-03-12,7.940178289768391e-32
2020-03-13,9.099469576367714e-32
2020-03-14,1.0428021078309673e-31
2020-03-15,1.1950545325420894e-31
2020-03-16,1.369536295548885e-31
2020-03-17,1.5694929509500886e-31
2020-03-18,1.7986439140663806e-31
2020-03-19,2.061251646686086e-31
2020-03-20,2.362200943576671e-31
2020-03-21,2.7070897950794016e-31
2020-03-22,3.102333515931549e-31
2020-03-23,3.555284077228e-31
2020-03-24,4.074366861228806e-31
2020-03-25,4.669237382803627e-31
2020-03-26,5.350960892705564e-31
2020-03-28,6.132218203494267e-31
2020-03-29,7.027541566698499e-31
2020-03-30,8.053584988794725e-31
2020-04-01,9.229434014178407e-31
2020-04-02,1.057696073743461e-30
2020-04-03,1.2121230648528603e-30
2020-04-06,1.3890968878689902e-30
2020-04-07,1.59190945196769e-30
2020-04-09,1.8243332955354493e-30
2020-04-11,2.090691759562957e-30
2020-04-13,2.395939406577322e-30
2020-04-16,2.74575418099419e-30
2020-04-17,3.1466430251744227e-30
2020-04-18,3.606062915760991e-30
2020-04-20,4.1325595717060566e-30
2020-04-21,4.7359264141112046e-30
2020-04-23,5.427386734709981e-30
2020-04-27,6.219802461528411e-30
2020-05-04,7.127913404995555e-30
2020-05-08,8.168611434748096e-30
2020-05-11,9.36125468711961e-30
2020-05-12,1.0728027647923162e-29
2020-05-18,1.2294353808465425e-29
2020-05-21,1.408936857065144e-29
2020-05-25,1.6146461197738915e-29
2020-05-27,1.8503895891626472e-29
2020-06-02,2.120552354940156e-29
2020-06-03,2.430159743860828e-29
2020-06-27,2.784970796369887e-29
2020-06-29,3.191585391136086e-29
2020-07-03,3.657567010106721e-29
2020-07-07,4.1915834276516146e-29
2020-08-10,4.803567940769189e-29
2020-08-19,5.504904139415681e-29
2020-08-21,6.308637653890115e-29
2020-08-25,7.229718818010996e-29
2020-08-26,8.285280761888679e-29
2020-08-31,9.49495810712707e-29
2020-09-03,1.0881252192538483e-28
2020-09-07,1.246994962397457e-28
2020-09-10,1.4290601933763941e-28
2020-09-14,1.6377075271953448e-28
2020-09-15,1.876818035421863e-28
2020-09-16,2.1508394384173984e-28
2020-09-17,2.464868837863567e-28
2020-09-18,2.824747528500493e-28
2020-09-19,3.237169652680416e-28
2020-09-20,3.7098067188319413e-28
2020-09-21,4.251450300015928e-28
2020-09-22,4.872175566924551e-28
2020-09-23,5.583528697218368e-28
2020-09-24,6.398741647222756e-28
2020-09-25,7.332978280974958e-28
2020-09-26,8.403616434895343e-28
2020-09-27,9.630571164797412e-28
2020-09-28,1.103666518798968e-27
2020-09-29,1.2648053411102705e-27
2020-09-30,1.4494709440329314e-27
2020-10-01,1.661098312370688e-27
2020-10-02,1.9036239496347287e-27
2020-10-04,2.1815591013701822e-27
2020-10-05,2.500073669321234e-27
2020-10-06,2.8650923773312585e-27
2020-10-07,3.283404977770277e-27
2020-10-08,3.7627925484512566e-27
2020-10-09,4.312172229298151e-27
2020-10-10,4.9417630910276236e-27
2020-10-11,5.6632762211860105e-27
2020-10-12,6.490132563352301e-27
