date,fit
2020-02-28,2.8642820181921807e-10
2020-05-25,3.2426058941114875e-10
2020-05-27,3.670900043254227e-10
2020-08-21,4.155764705158566e-10
2020-10-17,4.704671900905548e-10
2020-12-02,5.326080580918051e-10
2020-12-21,6.029566981863192e-10
2020-12-22,6.825972201526525e-10
2020-12-23,7.727569265865417e-10
2020-12-26,8.748252262832542e-10
2020-12-30,9.90375045762237e-10
2021-01-01,1.1211870688968896e-09
2021-01-02,1.2692771781950431e-09
2021-01-03,1.4369275206146945e-09
2021-01-04,1.6267216766556277e-09
2021-01-06,1.8415844747012407e-09
2021-01-08,2.08482706417045e-09
2021-01-10,2.3601979420808693e-09
2021-01-11,2.6719407193692823e-09
2021-01-12,3.024859517179037e-09
2021-01-13,3.424393000905304e-09
2021-01-14,3.876698192902005e-09
2021-01-15,4.3887453554480244e-09
2021-01-16,4.968425406169022e-09
2021-01-17,5.624671521242967e-09
2021-01-18,6.367596800358006e-09
2021-01-19,7.208650114912102e-09
2021-01-20,8.160792541155835e-09
2021-01-21,9.238697097205615e-09
2021-01-22,1.0458974861977589e-08
2021-01-23,1.1840430960652943e-08
2021-01-24,1.3404354361542065e-08
2021-01-25,1.5174845950266605e-08
2021-01-26,1.717918993705129e-08
2021-01-27,1.9448274320700228e-08
2021-01-28,2.2017066888822756e-08
2021-01-29,2.4925154089710863e-08
2021-01-30,2.8217351080156425e-08
2021-01-31,3.194439235034664e-08
2021-02-01,3.6163713568711205e-08
2021-02-02,4.0940336695330904e-08
2021-02-03,4.63478720039344e-08
2021-02-04,5.246965245412337e-08
2021-02-05,5.94000178950329e-08
2021-02-06,6.724576889060658e-08
2021-02-07,7.612781257058983e-08
2021-02-08,8.6183025870545e-08
2021-02-09,9.756636487421906e-08
2021-02-10,1.1045325276412775e-07
2021-02-11,1.2504228317964154e-07
2021-02-12,1.415582806423824e-07
2021-02-13,1.6025576521123355e-07
2021-02-14,1.8142287475851217e-07
2021-02-15,2.0538580531087959e-07
2021-02-16,2.3251383788198262e-07
2021-02-17,2.632250292616977e-07
2021-02-18,2.9799265445839806e-07
2021-02-19,3.3735250007357847e-07
2021-02-20,3.8191112100089055e-07
2021-02-21,4.3235518768622136e-07
2021-02-22,4.894620679905895e-07
2021-02-23,5.541118067222652e-07
2021-02-24,6.273006874417418e-07
2021-02-25,7.10156585524772e-07
2021-02-26,8.039563490703106e-07
2021-02-27,9.10145475486957e-07
2021-02-28,1.0303603869647978e-06
2021-03-01,1.1664536480841912e-06
2021-03-02,1.3205225141458055e-06
2021-03-03,1.4949412501252804e-06
2021-03-04,1.6923977182515202e-06
2021-03-05,1.9159347979743785e-06
2021-03-06,2.168997276538015e-06
2021-03-07,2.4554849326564433e-06
2021-03-08,2.7798126311953595e-06
2021-03-09,3.1469783547671346e-06
2021-03-10,3.5626402204061423e-06
2021-03-11,4.033203667890059e-06
2021-03-12,4.565920162938121e-06
2021-03-13,5.168998935858659e-06
2021-03-14,5.85173347696167e-06
2021-03-15,6.624644737282681e-06
2021-03-16,7.499643240372221e-06
2021-03-17,8.49021260204083e-06
2021-03-18,9.611617284480297e-06
2021-03-19,1.088113778416333e-05
2021-03-20,1.2318336875073823e-05
2021-03-21,1.3945361006605399e-05
2021-03-22,1.5787281496201142e-05
2021-03-23,1.7872480768762116e-05
2021-03-24,2.0233089587376987e-05
2021-03-25,2.2905482003587195e-05
2021-03-26,2.593083564214894e-05
2021-03-27,2.9355765938576015e-05
2021-03-28,3.323304408289501e-05
2021-03-29,3.76224097072282e-05
2021-03-30,4.259149080747418e-05
2021-03-31,4.821684503241005e-05
2021-04-01,5.458513833172676e-05
2021-04-02,6.179447905571571e-05
2021-04-03,6.99559279749668e-05
2021-04-04,7.919520737389963e-05
2021-04-05,8.965463540702563e-05
2021-04-06,0.00010149531533629033
2021-04-07,0.00011489961314192297
2021-04-08,0.00013007396137431238
2021-04-09,0.00014725203205370377
2021-04-10,0.0001666983269986471
2021-04-11,0.00018871224025205342
2021-04-12,0.00021363265436340212
2021-04-13,0.000241843140274938
2021-04-14,0.0002737778395570675
2021-04-15,0.00030992811786357665
2021-04-16,0.0003508500898628159
2021-04-17,0.00039717312869145155
2021-04-18,0.00044960948733069285
2021-04-19,0.0005089651753921229
