date,fit
2020-01-13,2.393194998180119e-38
2020-01-14,2.804805189042915e-38
2020-01-29,3.2872090048927396e-38
2020-01-30,3.852582376865652e-38
2020-01-31,4.5151953978113723e-38
2020-02-02,5.29177250117698e-38
2020-02-05,6.201914587746733e-38
2020-02-23,7.268593754767566e-38
2020-02-27,8.518733114484938e-38
2020-02-28,9.983886336779308e-38
2020-03-01,1.1701034067640685e-37
2020-03-02,1.3713517325183905e-37
2020-03-03,1.607213143222976e-37
2020-03-04,1.8836408096447277e-37
2020-03-05,2.2076117997915427e-37
2020-03-06,2.587303180959422e-37
2020-03-07,3.0322984099083647e-37
2020-03-08,3.553829220479362e-37
2020-03-09,4.165059113926204e-37
2020-03-10,4.881415607292469e-37
2020-03-11,5.720979625822507e-37
2020-03-12,6.704941867719914e-37
2020-03-13,7.858137659953653e-37
2020-03-14,9.209673804939319e-37
2020-03-15,1.0793663239781796e-36
2020-03-16,1.2650086050966759e-36
2020-03-17,1.4825798576618975e-36
2020-03-18,1.7375716066190885e-36
2020-03-19,2.0364198748053654e-36
2020-03-20,2.3866676289511152e-36
2020-03-21,2.797155165079873e-36
2020-03-22,3.278243238657995e-36
2020-03-23,3.842074571326162e-36
2020-03-24,4.502880334673942e-36
2020-03-25,5.2773393467464634e-36
2020-03-26,6.184999047445272e-36
2020-03-28,7.248768878295182e-36
2020-03-29,8.495498519542248e-36
2020-03-30,9.956655579356504e-36
2020-04-01,1.1669119840100211e-35
2020-04-02,1.3676114108530897e-35
2020-04-03,1.6028295164714755e-35
2020-04-06,1.8785032345333303e-35
2020-04-07,2.2015906032979412e-35
2020-04-09,2.5802463873498993e-35
2020-04-11,3.0240279048517164e-35
2020-04-13,3.54413625541941e-35
2020-04-16,4.153699037242984e-35
2020-04-17,4.868101689265207e-35
2020-04-18,5.70537582153671e-35
2020-04-20,6.68665433525269e-35
2020-04-21,7.836704819755453e-35
2020-04-23,9.184554689510264e-35
2020-04-27,1.0764223839585338e-34
2020-05-04,1.2615583311951946e-34
2020-05-08,1.47853616454462e-34
2020-05-11,1.7328324309786078e-34
2020-05-12,2.030865599270674e-34
2020-05-18,2.380158062930409e-34
2020-05-21,2.78952600633298e-34
2020-05-25,3.26930192628793e-34
2020-05-27,3.831595425518368e-34
2020-06-02,4.490598860510413e-34
2020-06-03,5.262945558321716e-34
2020-06-27,6.168129643784215e-34
2020-06-29,7.228998073592545e-34
2020-07-03,8.472327296276413e-34
2020-07-07,9.929499093026763e-34
2020-08-10,1.1637292657680161e-33
2020-08-19,1.363881290805508e-33
2020-08-21,1.598457845933508e-33
2020-08-25,1.873379672007501e-33
2020-08-26,2.1955858294413044e-33
2020-08-31,2.573208840938159e-33
2020-09-03,3.015779957355214e-33
2020-09-07,3.5344697276376726e-33
2020-09-10,4.14236994483603e-33
2020-09-14,4.854824084559155e-33
2020-09-15,5.689814576169858e-33
2020-09-16,6.668416681494386e-33
2020-09-17,7.815330437000952e-33
2020-09-18,9.159504085732466e-33
2020-09-19,1.0734864734490091e-32
2020-09-20,1.258117467814693e-32
2020-09-21,1.4745035004818265e-32
2020-09-22,1.7281061813008377e-32
2020-09-23,2.0253264728597454e-32
2020-09-24,2.3736662515602394e-32
2020-09-25,2.7819176558930484e-32
2020-09-26,3.2603850010853435e-32
2020-09-27,3.821144861273636e-32
2020-09-28,4.478350883707776e-32
2020-09-29,5.248591028533038e-32
2020-09-30,6.151306250927401e-32
2020-10-01,7.209281193180385e-32
2020-10-02,8.449219271842923e-32
2020-10-04,9.90241667521771e-32
2020-10-05,1.1605552282967518e-31
2020-10-06,1.3601613445510708e-31
2020-10-07,1.594098098998828e-31
2020-10-08,1.8682700838482973e-31
2020-10-09,2.189597433429433e-31
2020-10-10,2.5661904892280336e-31
2020-10-11,3.007554505893859e-31
2020-10-12,3.524829565027199e-31
2020-10-13,4.131071752196577e-31
2020-10-14,4.841582694130929e-31
2020-10-15,5.674295773643748e-31
2020-10-16,6.650228770402189e-31
2020-10-17,7.794014352249074e-31
2020-10-18,9.134521806742278e-31
2020-10-19,1.0705585705493825e-30
2020-10-20,1.2546859892882332e-30
2020-10-21,1.4704818353920728e-30
2020-10-22,1.7233928223305684e-30
2020-10-23,2.0198024542537876e-30
2020-10-24,2.3671921464153843e-30
2020-10-25,2.7743300570059925e-30
2020-10-26,3.2514923965349056e-30
2020-10-27,3.8107228006367e-30
2020-10-28,4.466136312902961e-30
2020-10-29,5.234275650303799e-30
2020-10-30,6.134528743381623e-30
2020-10-31,7.189618089981675e-30
2020-11-02,8.426174273869054e-30
2020-11-03,9.875408123909629e-30
2020-11-04,1.1573898479196644e-29
2020-11-05,1.3564515443410357e-29
2020-11-06,1.5897502431461575e-29
2020-11-07,1.863174431941096e-29
2020-11-08,2.1836253705922042e-29
2020-11-09,2.5591912798665004e-29
2020-11-10,2.999351489110332e-29
2020-11-11,3.5152156956777565e-29
2020-11-12,4.119804375046532e-29
2020-11-13,4.828377419207081e-29
2020-11-14,5.658819298196696e-29
2020-11-15,6.632090466304623e-29
2020-11-16,7.772756406493724e-29
2020-11-17,9.109607666186102e-29
2020-11-18,1.0676386534191175e-28
2020-11-19,1.2512638700188827e-28
2020-11-20,1.4664711392760242e-28
2020-11-21,1.718692318908762e-28
2020-11-22,2.0142935022466913e-28
2020-11-23,2.360735699202599e-28
2020-11-24,2.7667631530725394e-28
2020-11-25,3.2426240463028422e-28
2020-11-26,3.800329165864724e-28
2020-11-27,4.453955056982059e-28
2020-11-28,5.219999316849191e-28
2020-11-29,6.117796995995997e-28
2020-11-30,7.170008617320849e-28
2020-12-01,8.403192130451862e-28
2020-12-02,9.848473237633729e-28
2020-12-03,1.1542331010248156e-27
2020-12-04,1.3527518625023545e-27
2020-12-05,1.5854142459428964e-27
2020-12-06,1.8580926782751525e-27
2020-12-07,2.177669596381347e-27
2020-12-08,2.5522111606434364e-27
2020-12-09,2.9911708458146852e-27
2020-12-10,3.505628047875221e-27
2020-12-11,4.108567729337492e-27
2020-12-12,4.815208161283594e-27
2020-12-13,5.643385034382994e-27
2020-12-14,6.614001633899927e-27
2020-12-15,7.751556441162437e-27
2020-12-16,9.084761478218228e-27
2020-12-17,1.0647267002772545e-26
2020-12-18,1.2478510844795777e-26
2020-12-19,1.4624713822161054e-26
2020-12-20,1.71400463597231e-26
2020-12-21,2.0087995757447636e-26
2020-12-22,2.3542968617603743e-26
2020-12-23,2.75921688764783e-26
2020-12-24,3.233779884236165e-26
2020-12-25,3.7899638794270466e-26
2020-12-26,4.4418070250797295e-26
2020-12-27,5.2057619216757e-26
2020-12-28,6.101110883961113e-26
2020-12-29,7.150452628922084e-26
2020-12-30,8.380272670157329e-26
2020-12-31,9.821611815470867e-26
2021-01-01,1.1510849640646112e-25
2021-01-02,1.349062271437485e-25
2021-01-03,1.5810900750449703e-25
2021-01-04,1.8530247849434073e-25
2021-01-05,2.171730066370126e-25
2021-01-06,2.5452500794910137e-25
2021-01-07,2.983012514983929e-25
2021-01-08,3.4960665501011184e-25
2021-01-09,4.0973617312503244e-25
2021-01-10,4.8020748221251905e-25
2021-01-11,5.627992867071568e-25
2021-01-12,6.595962138255597e-25
2021-01-13,7.730414298115364e-25
2021-01-14,9.059983057499893e-25
2021-01-15,1.0618226894022636e-24
2021-01-16,1.2444476072128256e-24
2021-01-17,1.4584825343763513e-24
2021-01-18,1.7093297385536906e-24
2021-01-19,2.00332063376638e-24
2021-01-20,2.347875586058611e-24
2021-01-21,2.7516912044409546e-24
2021-01-22,3.2249598443623385e-24
2021-01-23,3.779626864004365e-24
2021-01-24,4.4296921265784675e-24
2021-01-25,5.1915633585803786e-24
2021-01-26,6.0844702828078014e-24
2021-01-27,7.13094997890857e-24
2021-01-28,8.357415722019135e-24
2021-01-29,9.794823657049894e-24
2021-01-30,1.147945413555723e-23
2021-01-31,1.345382743624118e-23
2021-02-01,1.5767776981964448e-23
2021-02-02,1.847970714142232e-23
2021-02-03,2.1658067362529784e-23
2021-02-04,2.5383079844834332e-23
2021-02-05,2.974876435761426e-23
2021-02-06,3.48653113103201e-23
2021-02-07,4.086186297194595e-23
2021-02-08,4.7889773037645254e-23
2021-02-09,5.612642681445404e-23
2021-02-10,6.577971844806974e-23
2021-02-11,7.709329819643973e-23
2021-02-12,9.035272219198044e-23
2021-02-13,1.0589265991318297e-22
2021-02-14,1.2410534128305762e-22
2021-02-15,1.4545045660021936e-22
2021-02-16,1.7046675917808023e-22
2021-02-17,1.9978566354417052e-22
2021-02-18,2.3414718241981427e-22
2021-02-19,2.7441860473144798e-22
2021-02-20,3.2161638608888345e-22
2021-02-21,3.769318042488366e-22
2021-02-22,4.417610271107829e-22
2021-02-23,5.177403521649798e-22
2021-02-24,6.067875068406512e-22
2021-02-25,7.111500521801526e-22
2021-02-26,8.334621115537261e-22
2021-02-27,9.768108562545964e-22
2021-02-28,1.1448144260788408e-21
2021-03-01,1.3417132516150491e-21
2021-03-02,1.5724770832294179e-21
2021-03-03,1.842930428171052e-21
2021-03-04,2.1598995618451367e-21
2021-03-05,2.5313848238365593e-21
2021-03-06,2.9667625474566096e-21
