date,fit
2020-01-13,1.6615258195941234e-47
2020-01-14,2.0255674928620797e-47
2020-01-29,2.4693709960774678e-47
2020-01-30,3.010412211766188e-47
2020-01-31,3.6699960026851644e-47
2020-02-02,4.474095144539356e-47
2020-02-23,5.454373069546876e-47
2020-02-27,6.649430693960275e-47
2020-02-28,8.106326426522486e-47
2020-03-01,9.88242921202622e-47
2020-03-02,1.2047677578239981e-46
2020-03-03,1.4687333641873525e-46
2020-03-04,1.7905340519514763e-46
2020-03-05,2.1828415350063573e-46
2020-03-06,2.6611039101746375e-46
2020-03-07,3.244153964995045e-46
2020-03-08,3.954950766241363e-46
2020-03-09,4.821483731095678e-46
2020-03-10,5.8778747810590575e-46
2020-03-11,7.16572197869031e-46
2020-03-12,8.735737556259143e-46
2020-03-13,1.064974483782348e-45
2020-03-14,1.2983112688577132e-45
2020-03-15,1.5827723354050036e-45
2020-03-16,1.929559055531821e-45
2020-03-17,2.3523270311849065e-45
2020-03-18,2.867723817925895e-45
2020-03-19,3.4960444644284777e-45
2020-03-20,4.262030681218425e-45
2020-03-21,5.1958451079416505e-45
2020-03-22,6.334259043391813e-45
2020-03-23,7.722100408163581e-45
2020-03-24,9.41401895711395e-45
2020-03-25,1.147663825132461e-44
2020-03-26,1.3991179128892096e-44
2020-03-28,1.7056657980323843e-44
2020-03-29,2.0793785768704008e-44
2020-03-30,2.534972132838347e-44
2020-04-01,3.0903866115321185e-44
2020-04-02,3.767492859199015e-44
2020-04-03,4.592953642482492e-44
2020-04-06,5.59927356212113e-44
2020-04-07,6.826079003602345e-44
2020-04-09,8.321678526056766e-44
2020-04-11,1.014496513364241e-43
2020-04-13,1.2367735336153447e-43
2020-04-16,1.5077516317714341e-43
2020-04-17,1.8381012540461245e-43
2020-04-18,2.2408307501922265e-43
2020-04-20,2.7317986100895465e-43
2020-04-21,3.330337931790252e-43
2020-04-23,4.0600177110264414e-43
2020-04-27,4.949570929874796e-43
2020-05-04,6.034025990410786e-43
2020-05-08,7.35608604640683e-43
2020-05-11,8.967810547739687e-43
2020-05-12,1.0932665212560167e-42
2020-05-18,1.3328021150050993e-42
2020-05-21,1.6248201543034898e-42
2020-05-25,1.9808195861249184e-42
2020-05-27,2.4148187861800857e-42
2020-06-02,2.943907567824561e-42
2020-06-03,3.588920136572273e-42
2020-06-27,4.3752554894962417e-42
2020-06-29,5.333877564812596e-42
2020-07-03,6.502534525060807e-42
2020-07-07,7.927245186231303e-42
2020-08-10,9.66411112473712e-42
2020-08-19,1.1781525818513098e-41
2020-08-21,1.4362867812746353e-41
2020-08-25,1.7509783960433016e-41
2020-08-26,2.1346192023639378e-41
2020-08-31,2.6023160247992977e-41
2020-09-03,3.1724856055954423e-41
2020-09-07,3.867579810367772e-41
2020-09-10,4.714969726949138e-41
2020-09-14,5.748023471022531e-41
2020-09-15,7.007420139854127e-41
2020-09-16,8.542751654369639e-41
2020-09-17,1.0414475566146715e-40
2020-09-18,1.2696295726025082e-40
2020-09-19,1.5478064559166672e-40
2020-09-20,1.886932123096812e-40
2020-09-21,2.3003605028032563e-40
2020-09-22,2.8043713804461813e-40
2020-09-23,3.4188114558052163e-40
2020-09-24,4.167875856900721e-40
2020-09-25,5.081060884196833e-40
2020-09-26,6.194325501842814e-40
2020-09-27,7.551507312600397e-40
2020-09-28,9.206048774042023e-40
2020-09-29,1.1223101630137482e-39
2020-09-30,1.3682092425531577e-39
2020-10-01,1.6679850126109508e-39
2020-10-02,2.033441900379986e-39
2020-10-04,2.4789706927573387e-39
2020-10-05,3.0221152098819995e-39
2020-10-06,3.684263137310978e-39
2020-10-07,4.491488220092883e-39
2020-10-08,5.475576982255692e-39
2020-10-09,6.675280401378483e-39
2020-10-10,8.137839826091026e-39
2020-10-11,9.920847223352221e-39
2020-10-12,1.209451300743684e-38
2020-10-13,1.4744430752117996e-38
2020-10-14,1.7974947653562078e-38
2020-10-15,2.1913273464415342e-38
2020-10-16,2.671448969872785e-38
2020-10-17,3.256765635779315e-38
2020-10-18,3.9703256644644533e-38
2020-10-19,4.840227282161506e-38
2020-10-20,5.900725059575353e-38
2020-10-21,7.193578772018239e-38
2020-10-22,8.769697795910434e-38
2020-10-23,1.0691145793906284e-37
2020-10-24,1.3033584628179746e-37
2020-10-25,1.5889253737120298e-37
2020-10-26,1.9370602295912717e-37
2020-10-27,2.361471718648647e-37
2020-10-28,2.878872113932189e-37
2020-10-29,3.5096353612565235e-37
2020-10-30,4.278599354716653e-37
2020-10-31,5.216043991426984e-37
2020-11-02,6.35888351885738e-37
2020-11-03,7.752120126451207e-37
2020-11-04,9.450616020362068e-37
2020-11-05,1.1521253761222444e-36
2020-11-06,1.4045569933693791e-36
2020-11-07,1.71229658551806e-36
2020-11-08,2.0874621753463745e-36
2020-11-09,2.5448268543871705e-36
2020-11-10,3.102400510675366e-36
2020-11-11,3.782139013523068e-36
2020-11-12,4.6108087812617916e-36
2020-11-13,5.62104077648842e-36
2020-11-14,6.852615432535668e-36
2020-11-15,8.354029108389043e-36
2020-11-16,1.0184403755164057e-35
2020-11-17,1.2415814992078846e-35
2020-11-18,1.5136130265786644e-35
2020-11-19,1.8452468852751698e-35
2020-11-20,2.249541995099073e-35
2020-11-21,2.742418495918332e-35
2020-11-22,3.3432846433363595e-35
2020-11-23,4.0758010577177754e-35
2020-11-24,4.968812420804179e-35
2020-11-25,6.057483307824174e-35
2020-11-26,7.384682881353345e-35
2020-11-27,9.002672972736821e-35
2020-11-28,1.0975166023539913e-34
2020-11-29,1.337983392366264e-34
2020-11-30,1.6311366537948075e-34
2020-12-01,1.9885200358485455e-34
2020-12-02,2.424206410769879e-34
2020-12-03,2.955352028680982e-34
2020-12-04,3.60287208821258e-34
2020-12-05,4.392264325212977e-34
2020-12-06,5.354613050420512e-34
2020-12-07,6.527813172615237e-34
2020-12-08,7.958062406250357e-34
2020-12-09,9.701680423001906e-34
2020-12-10,1.1827326580919174e-33
2020-12-11,1.4418703559855422e-33
2020-12-12,1.7577853365644552e-33
2020-12-13,2.1429175491503047e-33
2020-12-14,2.6124325461898993e-33
2020-12-15,3.184818665141067e-33
2020-12-16,3.88261505340074e-33
2020-12-17,4.733299204093406e-33
2020-12-18,5.770368951680579e-33
2020-12-19,7.034661533698096e-33
2020-12-20,8.575961660004145e-33
2020-12-21,1.0454961911322774e-32
2020-12-22,1.274565266271924e-32
2020-12-23,1.5538235641274422e-32
2020-12-24,1.8942675846641265e-32
2020-12-25,2.3093031700315763e-32
2020-12-26,2.815273393417363e-32
2020-12-27,3.432102108782599e-32
2020-12-28,4.184078502873729e-32
2020-12-29,5.100813543225204e-32
2020-12-30,6.218405984705988e-32
2020-12-31,7.580863849059254e-32
2021-01-01,9.241837351777521e-32
2021-01-02,1.1266731514682099e-31
2021-01-03,1.373528165365473e-31
2021-01-04,1.6744693157849456e-31
2021-01-05,2.0413469197111423e-31
