date,fit
2020-01-13,7.872030720433038e-25
2020-01-14,8.638127410804636e-25
2020-01-29,9.478779722189616e-25
2020-01-30,1.0401243319172483e-24
2020-01-31,1.1413479979007239e-24
2020-02-02,1.2524226309664206e-24
2020-02-23,1.3743069155436289e-24
2020-02-27,1.5080528340929475e-24
2020-02-28,1.654814746759945e-24
2020-03-01,1.8158593546500383e-24
2020-03-02,1.9925766327174012e-24
2020-03-03,2.18649182662973e-24
2020-03-04,2.3992786171535147e-24
2020-03-05,2.6327735656817886e-24
2020-03-06,2.8889919655835223e-24
2020-03-07,3.1701452361873648e-24
2020-03-08,3.478660009527405e-24
2020-03-09,3.817199074588418e-24
2020-03-10,4.188684359819983e-24
2020-03-11,4.596322152281822e-24
2020-03-12,5.0436307710864826e-24
2020-03-13,5.534470933988331e-24
2020-03-14,6.073079079213237e-24
2020-03-15,6.664103930129254e-24
2020-03-16,7.312646618347261e-24
2020-03-17,8.024304711554533e-24
2020-03-18,8.805220526084912e-24
2020-03-19,9.662134141210468e-24
2020-03-20,1.0602441572721681e-23
2020-03-21,1.1634258607891081e-23
2020-03-22,1.2766490852780278e-23
2020-03-23,1.4008910596466978e-23
2020-03-24,1.5372241155608104e-23
2020-03-25,1.6868249427315864e-23
2020-03-26,1.8509847449168907e-23
2020-03-28,2.0311203842924224e-23
2020-03-29,2.228786610379903e-23
2020-03-30,2.4456894790799183e-23
2020-04-01,2.683701077629237e-23
2020-04-02,2.944875682573531e-23
2020-04-03,3.2314674902146575e-23
2020-04-06,3.5459500725641933e-23
2020-04-07,3.8910377267273265e-23
2020-04-09,4.2697089019832137e-23
2020-04-11,4.6852319067612676e-23
2020-04-13,5.1411931173897084e-23
2020-04-16,5.641527932086268e-23
2020-04-17,6.190554737354181e-23
2020-04-18,6.793012179947848e-23
2020-04-20,7.454100066102046e-23
2020-04-21,8.179524241025152e-23
2020-04-23,8.975545836011816e-23
2020-04-27,9.849035308226295e-23
2020-05-04,1.0807531739572805e-22
2020-05-08,1.185930790646213e-22
2020-05-11,1.3013441682090809e-22
2020-05-12,1.4279894387504685e-22
2020-05-18,1.5669596767695676e-22
2020-05-21,1.7194543334790474e-22
2020-05-25,1.886789589260536e-22
2020-05-27,2.0704097136088884e-22
2020-06-02,2.271899530612769e-22
2020-06-03,2.4929980975608764e-22
2020-06-27,2.735613714734054e-22
2020-06-29,3.0018403959324546e-22
2020-07-03,3.293975941894998e-22
2020-07-07,3.614541772602351e-22
2020-08-10,3.9663046896362925e-22
2020-08-19,4.352300756426103e-22
2020-08-21,4.775861502491944e-22
2020-08-25,5.240642677854359e-22
2020-08-26,5.750655805788839e-22
2020-08-31,6.310302806256678e-22
2020-09-03,6.924413988847379e-22
2020-09-07,7.598289743149181e-22
2020-09-10,8.337746286376546e-22
2020-09-14,9.1491658631029e-22
2020-09-15,1.0039551830371884e-21
2020-09-16,1.101658910362568e-21
2020-09-17,1.208871048516002e-21
2020-09-18,1.3265169447585322e-21
2020-09-19,1.4556120000488464e-21
2020-09-20,1.5972704329622356e-21
2020-09-21,1.7527148965038317e-21
2020-09-22,1.923287030818714e-21
2020-09-23,2.1104590428791268e-21
2020-09-24,2.3158464130932304e-21
2020-09-25,2.5412218385059582e-21
2020-09-26,2.7885305329354872e-21
2020-09-27,3.0599070161009815e-21
2020-09-28,3.357693536648356e-21
2020-09-29,3.684460288082845e-21
2020-09-30,4.0430275920923434e-21
2020-10-01,4.4364902407254794e-21
2020-10-02,4.868244207521319e-21
2020-10-04,5.342015958134777e-21
2020-10-05,5.8618946134373546e-21
2020-10-06,6.43236724269234e-21
2020-10-07,7.058357591420323e-21
2020-10-08,7.745268578214397e-21
2020-10-09,8.499028927295296e-21
2020-10-10,9.326144339290946e-21
2020-10-11,1.023375364189603e-20
2020-10-12,1.1229690405047223e-20
2020-10-13,1.2322550552413506e-20
2020-10-14,1.352176655275714e-20
2020-10-15,1.483768883150998e-20
2020-10-16,1.6281675105226924e-20
2020-10-17,1.7866188409963217e-20
2020-10-18,1.9604904669657292e-20
2020-10-19,2.1512830732939847e-20
2020-10-20,2.3606433897146206e-20
2020-10-21,2.5903784037452155e-20
2020-10-22,2.842470956784707e-20
2020-10-23,3.119096858004559e-20
2020-10-24,3.4226436637434094e-20
2020-10-25,3.755731284490258e-20
2020-10-26,4.121234597314573e-20
2020-10-27,4.522308258911473e-20
2020-10-28,4.9624139334230734e-20
2020-10-29,5.4453501700388e-20
2020-10-30,5.975285188248602e-20
2020-10-31,6.556792853718163e-20
2020-11-02,7.194892155293207e-20
2020-11-03,7.895090523859411e-20
2020-11-04,8.66343136694242e-20
2020-11-05,9.506546229318231e-20
2020-11-06,1.0431712029832799e-19
2020-11-07,1.1446913868441078e-19
2020-11-08,1.2560913945551939e-19
2020-11-09,1.3783327188522571e-19
2020-11-10,1.512470423803377e-19
2020-11-11,1.6596622510599854e-19
2020-11-12,1.8211786123175018e-19
2020-11-13,1.9984135542303195e-19
2020-11-14,2.1928967904193886e-19
2020-11-15,2.4063069044203637e-19
2020-11-16,2.6404858375271193e-19
2020-11-17,2.897454786575037e-19
2020-11-18,3.179431648877522e-19
2020-11-19,3.4888501648832106e-19
2020-11-20,3.8283809237738976e-19
2020-11-21,4.2009544133020993e-19
2020-11-22,4.609786312811682e-19
2020-11-23,5.058405247745292e-19
2020-11-24,5.550683245187204e-19
2020-11-25,6.090869153303773e-19
2020-11-26,6.68362531312422e-19
2020-11-27,7.334067799175218e-19
2020-11-28,8.047810576286732e-19
2020-11-29,8.831013953685539e-19
2020-11-30,9.690437754583982e-19
2020-12-01,1.063349966016943e-18
2020-12-02,1.1668339231562074e-18
2020-12-03,1.2803888162313836e-18
2020-12-04,1.4049947367796346e-18
2020-12-05,1.541727157683741e-18
2020-12-06,1.691766215571532e-18
2020-12-07,1.856406896567317e-18
2020-12-08,2.0370702133086522e-18
2020-12-09,2.2353154696971426e-18
2020-12-10,2.452853719240103e-18
2020-12-11,2.6915625331421892e-18
2020-12-12,2.9535022056102092e-18
2020-12-13,3.240933536238798e-18
2020-12-14,3.55633734295693e-18
2020-12-15,3.902435873951274e-18
2020-12-16,4.282216303372287e-18
2020-12-17,4.698956513614802e-18
2020-12-18,5.1562533866994184e-18
2020-12-19,5.658053848937765e-18
2020-12-20,6.208688936827394e-18
2020-12-21,6.812911178199462e-18
2020-12-22,7.475935611255429e-18
2020-12-23,8.203484795527273e-18
2020-12-24,9.00183820325139e-18
2020-12-25,9.877886417452481e-18
2020-12-26,1.0839190604520062e-17
2020-12-27,1.1894047774586118e-17
2020-12-28,1.3051562392965408e-17
2020-12-29,1.4321724960735365e-17
2020-12-30,1.5715498242685567e-17
2020-12-31,1.7244911886869082e-17
2021-01-01,1.892316625241524e-17
2021-01-02,2.076474634174296e-17
2021-01-03,2.278554682052208e-17
