date,fit
2020-01-13,4.1147517393131617e-19
2020-01-14,4.637663164496159e-19
2020-01-29,5.227027288629204e-19
2020-01-30,5.891289062396327e-19
2020-01-31,6.639966638822091e-19
2020-02-02,7.48378775811357e-19
2020-02-05,8.434843464578977e-19
2020-02-23,9.50676135821956e-19
2020-02-27,1.0714900863503717e-18
2020-02-28,1.2076573313313413e-18
2020-03-01,1.3611290001627e-18
2020-03-02,1.5341041759267164e-18
2020-03-03,1.729061405872971e-18
2020-03-04,1.948794216320684e-18
2020-03-05,2.19645114087058e-18
2020-03-06,2.4755808354871433e-18
2020-03-07,2.7901829269018484e-18
2020-03-08,3.1447653229399274e-18
2020-03-09,3.544408805965486e-18
2020-03-10,3.994839834999532e-18
2020-03-11,4.502512599686451e-18
2020-03-12,5.0747015018532304e-18
2020-03-13,5.719605389822702e-18
2020-03-14,6.446465039045617e-18
2020-03-15,7.26569556242159e-18
2020-03-16,8.189035647606316e-18
2020-03-17,9.229715759714116e-18
2020-03-18,1.0402647719578041e-17
2020-03-19,1.1724638374020019e-17
2020-03-20,1.3214630419794683e-17
2020-03-21,1.4893973831952627e-17
2020-03-22,1.6786731785900204e-17
2020-03-23,1.8920025456685558e-17
2020-03-24,2.1324422636114143e-17
2020-03-25,2.403437573615617e-17
2020-03-26,2.708871545475968e-17
2020-03-28,3.0531207177769103e-17
2020-03-29,3.441117808958638e-17
2020-03-30,3.878422397839014e-17
2020-04-01,4.3713005863671174e-17
2020-04-02,4.92681478608942e-17
2020-04-03,5.552924914871264e-17
2020-04-06,6.258602453913757e-17
2020-04-07,7.053958999379638e-17
2020-04-09,7.950391150633492e-17
2020-04-11,8.96074381118884e-17
2020-04-13,1.0099494242287902e-16
2020-04-16,1.138295950640218e-16
2020-04-17,1.2829530273095943e-16
2020-04-18,1.4459934337437584e-16
2020-04-20,1.6297533626891606e-16
2020-04-21,1.8368658952481297e-16
2020-04-23,2.0702987300841317e-16
2020-04-27,2.333396707334998e-16
2020-05-04,2.629929736555742e-16
2020-05-08,2.9641468154464025e-16
